line,serial,interval_us,wait_gx_us,residual_interval_minus_all_waits_us,queue_wait_us,packet_copy_us,draws,vertices,efb_cmds,efb_calls,efb_recorded,efb_destroy,efb_cap_fail,raw_cap,dropped
5272,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0
5404,300,91,0,91,1,2,0,0,0,0,0,0,0,0,0
5436,311,1473140,1,1473139,1,7,0,0,0,0,0,0,0,0,0
5470,467,2498842,215,2498626,1,10,1,4,0,0,0,0,0,0,0
5497,468,1327000,43,1326956,2,658,485,3432,34,21,21,13,0,0,0
5499,469,6499836,6411364,88471,1,10,1,4,0,0,0,0,0,0,0
5500,471,1567985,1541382,26602,1,45,16,200,0,0,0,0,0,0,0
5506,600,62373,5,62367,2,135,96,716,0,0,0,0,0,0,0
5535,789,1526938,182,1526755,1,9,1,4,0,0,0,0,0,0,0
5544,790,6231953,52,6231900,1,825,533,3624,45,28,28,17,0,0,0
5550,856,1091501,849234,242266,2,2812,3193,23036,12,12,12,0,0,0,0
5557,900,154481,32353,122128,2,1202,1431,10452,12,12,12,0,0,0,0
5574,979,2025377,1740899,284477,1,3423,3722,24738,28,27,27,1,0,0,0
5588,1200,210252,36487,173764,20,1881,2304,15188,12,12,12,0,0,0,0
5649,1500,213089,39447,173641,2,1853,2272,15608,12,12,12,0,0,0,0
5663,1560,2830363,36029,2794333,1,1790,2240,15408,12,12,12,0,0,0,0
5683,1581,4001717,10,4001706,1,12,1,4,0,0,0,0,0,0,0
5684,1582,1044533,24,1044508,1,10,1,4,0,0,0,0,0,0,0
5685,1584,1372039,240,1371798,1,10,1,4,0,0,0,0,0,0,0
5693,1585,4533709,617,4533091,2,12181,6296,49152,512,399,303,209,169,21,348
5697,1586,4176373,4131185,45187,2,11,1,4,0,0,0,0,0,0,0
5704,1652,6945858,6595331,350526,1,5050,5841,36738,12,12,12,0,0,0,0
5707,1653,2970936,2593407,377528,2,5553,6157,38668,13,13,13,0,0,0,0
5709,1654,2251060,1888173,362887,2,5224,6149,38636,13,13,13,0,0,0,0
5710,1655,1506279,1143244,363034,2,5797,6149,38636,13,13,13,0,0,0,0
5711,1656,1483543,1120391,363151,2,5796,6149,38636,13,13,13,0,0,0,0
5713,1657,1516786,1155268,361517,1,5674,6149,38636,13,13,13,0,0,0,0
5720,1658,1496332,1132574,363757,1,5176,6157,38684,13,13,13,0,0,0,0
5721,1659,1507582,1149274,358307,2,5739,6149,38652,13,13,13,0,0,0,0
5722,1660,1472002,1118016,353985,1,5514,6149,38652,13,13,13,0,0,0,0
5723,1661,1489162,1132274,356887,1,5232,6151,38660,13,13,13,0,0,0,0
5725,1662,1486868,1132275,354592,1,5206,6152,38664,13,13,13,0,0,0,0
5726,1663,1503006,1144005,359000,2,5210,6161,38716,13,13,13,0,0,0,0
5727,1664,1494850,1122793,372056,2,5272,6152,38664,13,13,13,0,0,0,0
5733,1665,1498263,1147198,351065,2,5905,6152,38664,13,13,13,0,0,0,0
5734,1666,1481839,1125806,356032,1,5744,6152,38664,13,13,13,0,0,0,0
5736,1667,1505835,1146878,358956,1,5617,6157,38684,13,13,13,0,0,0,0
5737,1668,1481509,1124318,357190,1,5642,6161,38716,13,13,13,0,0,0,0
5738,1669,1500773,1144018,356754,1,5710,6152,38664,13,13,13,0,0,0,0
5739,1670,1478933,1124878,354054,2,5291,6152,38664,13,13,13,0,0,0,0
5740,1671,1504029,1145835,358193,2,5223,6156,38680,13,13,13,0,0,0,0
5746,1672,1480940,1125412,355527,2,5349,6153,38668,13,13,13,0,0,0,0
5748,1673,1508066,1149109,358956,2,5504,6160,38712,13,13,13,0,0,0,0
5749,1674,1487047,1127964,359082,1,5828,6153,38668,13,13,13,0,0,0,0
5750,1675,1506440,1142492,363947,1,5468,6154,38672,13,13,13,0,0,0,0
5751,1676,1482708,1123511,359197,2,5746,6153,38668,13,13,13,0,0,0,0
5752,1677,1502717,1146084,356632,1,5682,6151,38660,13,13,13,0,0,0,0
5753,1678,1484091,1125466,358624,2,5422,6159,38708,13,13,13,0,0,0,0
5759,1679,1491612,1138141,353470,2,5449,6150,38656,13,13,13,0,0,0,0
5761,1680,1672568,1115496,557071,2,5691,6151,38660,13,13,13,0,0,0,0
5763,1681,1500699,1137352,363347,2,5424,6149,38652,13,13,13,0,0,0,0
5764,1682,1477584,1122735,354848,2,5204,6149,38652,13,13,13,0,0,0,0
5766,1683,1501658,1135988,365669,2,5256,6159,38708,13,13,13,0,0,0,0
5767,1684,1478780,1123296,355483,1,5960,6150,38656,13,13,13,0,0,0,0
5770,1685,1498453,1134893,363559,2,5538,6154,38672,13,13,13,0,0,0,0
5777,1686,1486763,1119059,367703,2,5737,6151,38660,13,13,13,0,0,0,0
5778,1687,1495397,1142516,352880,2,5342,6153,38668,13,13,13,0,0,0,0
5779,1688,1478720,1121595,357124,2,5363,6160,38712,13,13,13,0,0,0,0
5780,1689,1497503,1141470,356032,2,5978,6153,38668,13,13,13,0,0,0,0
5782,1690,1478549,1114983,363565,1,5233,6152,38664,13,13,13,0,0,0,0
5784,1691,1498916,1135150,363766,1,5196,6154,38672,13,13,13,0,0,0,0
